month;1995;1996;1997;1998;1999;2001;2002;2003;2004;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020
1;311;0;0;1;1;0;0;0;0;0;0;12;1;0;1;0;2;1;0;0;0;1;1
2;0;0;0;1;0;0;0;0;0;0;0;16;0;0;0;1;1;1;1;0;0;0;1
3;2;0;1;1;0;1;0;0;0;0;0;9;0;0;1;1;2;1;0;0;1;0;0
4;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0
5;1;1;1;1;0;0;1;0;0;1;0;2;0;1;5;1;1;3;0;2;1;0;1
6;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;2;0;1;0;0;1;0;0
8;0;0;0;1;0;0;1;0;0;0;0;0;1;3;2;0;1;0;0;1;0;0;0
9;1;1;0;0;0;0;0;0;1;0;0;0;2;1;2;0;0;1;0;0;0;2;1
10;0;0;0;0;0;0;0;0;0;0;0;0;5;6;1;0;1;1;0;0;0;0;0
11;2;0;1;1;1;0;0;0;0;0;0;2;2;1;1;1;2;1;0;0;0;0;1
12;0;1;0;0;0;0;0;1;0;0;7;0;0;3;0;1;1;0;0;0;1;1;1
